id,height,version,timestamp,tx_count,size,weight,merkle_root,previousblockhash,mediantime,nonce,bits,difficulty
0000000000000000000069b6919498f6a3451cc20e550987bd26f4311e3b3854,910623,560996352,2025-08-18 14:40:04+00:00,3096,1617272,3993974,1291cf0c2e65679f55b0db6f0f69a93cf65565c70b42a7d0ec3edb5f2f34a462,00000000000000000001bfa37ed3d83ed2b6f77e31f2b8aec8bef0ac0a703b65,1755525610,816838503,386018483,129435235580344.81
00000000000000000001bfa37ed3d83ed2b6f77e31f2b8aec8bef0ac0a703b65,910622,973078528,2025-08-18 14:34:38+00:00,4006,1592952,3995148,3a2b53c75e710995ac50afde4ef076557ad305218559d730dabe91c295cfd37c,00000000000000000000db772361265f6a4a1fe6a913146bceb8350aee738564,1755524907,1284275574,386018483,129435235580344.81
00000000000000000000db772361265f6a4a1fe6a913146bceb8350aee738564,910621,577380352,2025-08-18 14:05:33+00:00,3986,1663188,3993351,3fd93fcc63d1003a8af74d0c2d1146c41f70213a529edf667140af81b209f73b,0000000000000000000191601b31b8701e3bfdd09f3dee908cde8717003577f0,1755524670,126921796,386018483,129435235580344.81
0000000000000000000191601b31b8701e3bfdd09f3dee908cde8717003577f0,910620,548159488,2025-08-18 14:00:28+00:00,2074,3008207,3993704,b217658e9af9f892f554eba6d1395ef8030e6873573116ecfd245d3e693ca240,000000000000000000015bf561b4c83cbf07d89f887f9222ff62bb80d9778eb2,1755524570,3616753680,386018483,129435235580344.81
000000000000000000015bf561b4c83cbf07d89f887f9222ff62bb80d9778eb2,910619,625074176,2025-08-18 14:00:19+00:00,4750,1691584,3994087,60dc553550c640de3b5165e153cbfee17c0d6db26b05cb0d5f2cf148c4af097c,0000000000000000000174e957a48732acd3ee85987f4883f3880d1bb2845a33,1755523636,2499424575,386018483,129435235580344.81
0000000000000000000174e957a48732acd3ee85987f4883f3880d1bb2845a33,910618,605642752,2025-08-18 14:00:10+00:00,3116,1559608,3993730,20f98e37e1424fde7b98bd5f5d964ad768083321e8d8b0154bdfcac7c4f8f0f2,00000000000000000001b9b2733fe487e619b4be6d6208ee033ec086f8ec6310,1755523540,735355531,386018483,129435235580344.81
00000000000000000001b9b2733fe487e619b4be6d6208ee033ec086f8ec6310,910617,838860800,2025-08-18 13:48:27+00:00,4107,1649510,3993482,99c9b261cc48373cc9577e1901d65969a31cd29dca53c90c06bc52d637c27488,00000000000000000001262081dd24d6b8f44016406de4e61de923bdb16d968e,1755523501,1232359462,386018483,129435235580344.81
00000000000000000001262081dd24d6b8f44016406de4e61de923bdb16d968e,910616,537042944,2025-08-18 13:44:30+00:00,2572,1679432,3993131,d9c5750d25bcb2d17bf9400c520f5b4cd86a9bf763418a09859d1d41adc3d8af,0000000000000000000209327f055967d4bf09f507a2d2b49d7f5cca3312aefe,1755522890,1029751828,386018483,129435235580344.81
0000000000000000000209327f055967d4bf09f507a2d2b49d7f5cca3312aefe,910615,570007552,2025-08-18 13:42:50+00:00,3182,1695784,3993457,0c0f423294feff18159ee0bc49e4035e8ae50938f03c79fbf7cf59ec40dadc26,00000000000000000001af276af1a9dc1ab2793f951b14751268d3a6e04a83b6,1755522418,3351428138,386018483,129435235580344.81
00000000000000000001af276af1a9dc1ab2793f951b14751268d3a6e04a83b6,910614,551550976,2025-08-18 13:27:16+00:00,3750,2186824,3992992,d1474d4c234c9ef951c6847b6cec0fc9ea914d2c5befb7332f66cab9ed139195,0000000000000000000172699fc9ed994cc1c4b1bcb4ccfad417850062e397a9,1755522300,363336744,386018483,129435235580344.81
